,variant,n_variables,depth,total_fidelity,compilation_time,n_1q_gate,n_2q_gate,execution_time
0,a,20,1,0.019292680251928138,2.701079845428467,550,495,0.1286750999999991
1,b,50,1,4.609020994804618e-08,5.969189643859863,1802,1654,0.40826610000000874
2,c,75,1,4.63019440665373e-12,11.30749225616455,2788,2579,0.6042935000000043
3,d,100,1,1.5635072872248784e-17,17.738632917404175,3940,3639,0.8102559999999817
4,e,150,1,2.0504754520616787e-28,30.58697748184204,6157,5670,1.246199499999934
5,f,250,1,3.38596695042713e-52,60.656174421310425,10376,9608,1.9777150999998536
6,g,20,1,0.011712328562136528,1.8949291706085205,570,519,0.13077949999999905
7,h,50,1,4.5574959496850164e-08,6.075765609741211,1816,1656,0.4142841000000092
8,i,75,1,3.3311093303071298e-12,9.59590458869934,2809,2591,0.5934713000000055
9,j,100,1,2.4763388642708983e-17,16.99748206138611,3875,3636,0.807529699999982
10,a,150,1,2.0388164368256595e-28,28.373942375183105,6083,5667,1.2116169999999378
11,b,250,1,2.5955164875387968e-52,62.15168285369873,10301,9594,1.9764952999998537
12,c,20,1,0.009932692267202257,1.8717029094696045,575,504,0.12777799999999911
13,d,50,1,3.5573913220211255e-08,7.408629655838013,1821,1676,0.40136150000000825
14,e,75,1,9.696469304522988e-12,11.092167139053345,2772,2545,0.5724343000000078
15,f,100,1,5.541779254721382e-18,16.133843898773193,3927,3653,0.8135481999999813
16,g,150,1,1.913704265154618e-28,29.57304310798645,6089,5653,1.1968981999999393
17,h,250,1,6.619283352636714e-52,62.29123330116272,10267,9574,1.9632719999998551
18,i,20,1,0.005765546215376022,1.9072942733764648,577,532,0.1401001999999989
19,j,50,1,6.038733045960715e-08,5.748247385025024,1795,1636,0.39234550000000756
20,a,75,1,2.4265442962417056e-12,11.992793321609497,2885,2642,0.6256437000000019
21,b,100,1,5.594076072689099e-18,18.081613302230835,3939,3677,0.8315781999999794
22,c,150,1,6.031654429916219e-29,29.387311935424805,6164,5708,1.2437888999999342
23,d,250,1,6.546672997405226e-53,65.48732209205627,10345,9598,1.9437274999998573
24,e,20,1,0.012805562873016442,1.8646466732025146,547,492,0.12537039999999916
25,f,50,1,1.1852709604157458e-07,5.993891477584839,1688,1593,0.3938370000000077
26,g,75,1,1.6817323835917926e-12,11.81915807723999,2829,2613,0.6148200000000031
27,h,100,1,1.8818763815747878e-17,16.806987524032593,3896,3611,0.8150436999999812
28,i,150,1,3.7083313556592376e-29,34.671911001205444,6140,5663,1.2320605999999354
29,j,250,1,8.061897125100105e-54,58.717811822891235,10317,9592,1.9335136999998583
30,a,20,1,1.0068070363787886e-07,5.879867792129517,1809,1667,0.4007511000000082
31,b,50,1,2.2614177520629285e-12,9.561573505401611,2793,2598,0.5817440000000068
32,c,75,1,0.012288542502440134,3.3583414554595947,578,519,0.13107819999999906
33,d,100,1,2.9180025685305133e-17,15.771657228469849,3882,3582,0.7846889999999845
34,e,150,1,2.430816896437552e-28,30.40462017059326,5985,5633,1.2113057999999377
35,f,250,1,3.451856432154767e-52,64.57045364379883,10477,9691,1.9891276999998524
36,g,20,1,1.6477032192263467e-07,5.929394483566284,1804,1660,0.39383950000000767
37,h,50,1,1.0672133726583734e-12,11.376629114151001,2872,2650,0.6003944000000048
38,i,75,1,0.013272676627879502,1.7909893989562988,535,494,0.1274717999999991
39,j,100,1,8.473903835590037e-18,18.011876344680786,3935,3646,0.843615699999978
40,a,150,1,5.169034348993006e-29,28.568285703659058,6102,5636,1.2043981999999385
41,b,250,1,2.5803794127527393e-52,60.3419508934021,10480,9637,1.9795112999998534
42,c,20,1,7.577402437128733e-08,7.7112717628479,1790,1649,0.40375960000000843
43,d,50,1,1.462897805666786e-12,10.177933692932129,2880,2661,0.6178255000000028
44,e,75,1,0.010644523364151445,3.4749202728271484,583,508,0.1280766999999991
45,f,100,1,1.1362407398099235e-17,16.1686053276062,3936,3624,0.8030176999999825
46,g,150,1,1.424315825774425e-27,28.014931440353394,5981,5589,1.1887677999999402
47,h,250,1,3.484366924106743e-52,61.04572367668152,10289,9569,2.009857999999854
48,i,20,1,6.34042022176977e-08,5.891540765762329,1818,1655,0.3839219000000069
49,j,50,1,8.950307647314799e-12,11.314908027648926,2763,2588,0.588657100000006
50,a,75,1,0.009424214180105736,1.9687740802764893,616,556,0.14220109999999886
51,b,100,1,1.9918796094731158e-17,16.408007383346558,3938,3654,0.8469108999999777
52,c,150,1,5.603818318765662e-28,28.32726812362671,6051,5636,1.200194899999939
53,d,250,1,9.565056227275762e-51,62.748680114746094,10382,9597,1.9804173999998533
54,e,20,1,1.1849075244379755e-07,7.480450868606567,1748,1607,0.37460520000000624
55,f,50,1,1.7416275030277108e-12,10.03224229812622,2898,2663,0.5922795000000056
56,g,75,1,0.011123010137898638,1.85182785987854,563,503,0.13197979999999904
57,h,100,1,2.5694910199200578e-17,16.457142114639282,3937,3656,0.8568284999999766
58,i,150,1,1.9339587727802434e-28,30.36511206626892,6082,5680,1.2705186999999314
59,j,250,1,1.4632965561364e-51,62.94260883331299,10345,9598,1.9966426999998514
