,variant,n_variables,depth,total_fidelity,compilation_time,n_1q_gate,n_2q_gate,execution_time
0,a,20,1,0.019292680251928138,1.8171696662902832,550,495,0.1286750999999991
1,b,50,1,4.609020994804618e-08,7.107289791107178,1802,1654,0.40826610000000874
2,c,75,1,4.63019440665373e-12,10.56159520149231,2788,2579,0.6042935000000043
3,d,100,1,1.5635072872248784e-17,17.03554606437683,3940,3639,0.8102559999999817
4,e,150,1,2.0504754520616787e-28,28.8668954372406,6157,5670,1.246199499999934
5,f,250,1,3.38596695042713e-52,69.91366529464722,10376,9608,1.9777150999998536
6,g,20,1,0.011712328562136528,3.925236940383911,570,519,0.13077949999999905
7,h,50,1,4.5574959496850164e-08,5.654941082000732,1816,1656,0.4142841000000092
8,i,75,1,3.3311093303071298e-12,11.101609230041504,2809,2591,0.5934713000000055
9,j,100,1,2.4763388642708983e-17,15.2349271774292,3875,3636,0.807529699999982
10,a,150,1,2.0388164368256595e-28,31.02028226852417,6083,5667,1.2116169999999378
11,b,250,1,2.5955164875387968e-52,72.35393238067627,10301,9594,1.9764952999998537
12,c,20,1,0.009932692267202257,1.685396432876587,575,504,0.12777799999999911
13,d,50,1,3.5573913220211255e-08,5.329753160476685,1821,1676,0.40136150000000825
14,e,75,1,9.696469304522988e-12,10.42650032043457,2772,2545,0.5724343000000078
15,f,100,1,5.541779254721382e-18,17.072907209396362,3927,3653,0.8135481999999813
16,g,150,1,1.913704265154618e-28,27.387391328811646,6089,5653,1.1968981999999393
17,h,250,1,6.619283352636714e-52,66.98259401321411,10267,9574,1.9632719999998551
18,i,20,1,0.005765546215376022,1.736945390701294,577,532,0.1401001999999989
19,j,50,1,6.038733045960715e-08,7.309346914291382,1795,1636,0.39234550000000756
20,a,75,1,2.4265442962417056e-12,11.220723152160645,2885,2642,0.6256437000000019
21,b,100,1,5.594076072689099e-18,15.715259313583374,3939,3677,0.8315781999999794
22,c,150,1,6.031654429916219e-29,31.202263593673706,6164,5708,1.2437888999999342
23,d,250,1,6.546672997405226e-53,64.11630511283875,10345,9598,1.9437274999998573
24,e,20,1,0.012805562873016442,1.7263140678405762,547,492,0.12537039999999916
25,f,50,1,1.1852709604157458e-07,7.0265538692474365,1688,1593,0.3938370000000077
26,g,75,1,1.6817323835917926e-12,9.029891967773438,2829,2613,0.6148200000000031
27,h,100,1,1.8818763815747878e-17,15.449029684066772,3896,3611,0.8150436999999812
28,i,150,1,3.7083313556592376e-29,30.896010160446167,6140,5663,1.2320605999999354
29,j,250,1,8.061897125100105e-54,59.12749266624451,10317,9592,1.9335136999998583
30,a,20,1,1.0068070363787886e-07,5.417803049087524,1809,1667,0.4007511000000082
31,b,50,1,2.2614177520629285e-12,10.66815185546875,2793,2598,0.5817440000000068
32,c,75,1,0.012288542502440134,1.6421918869018555,578,519,0.13107819999999906
33,d,100,1,2.9180025685305133e-17,14.029108047485352,3882,3582,0.7846889999999845
34,e,150,1,2.430816896437552e-28,27.364632844924927,5985,5633,1.2113057999999377
35,f,250,1,3.451856432154767e-52,56.95219826698303,10477,9691,1.9891276999998524
36,g,20,1,1.6477032192263467e-07,6.958425760269165,1804,1660,0.39383950000000767
37,h,50,1,1.0672133726583734e-12,8.184979677200317,2872,2650,0.6003944000000048
38,i,75,1,0.013272676627879502,3.3646225929260254,535,494,0.1274717999999991
39,j,100,1,8.473903835590037e-18,14.5765540599823,3935,3646,0.843615699999978
40,a,150,1,5.169034348993006e-29,25.35703706741333,6102,5636,1.2043981999999385
41,b,250,1,2.5803794127527393e-52,54.12468123435974,10480,9637,1.9795112999998534
42,c,20,1,7.577402437128733e-08,6.963317632675171,1790,1649,0.40375960000000843
43,d,50,1,1.462897805666786e-12,8.537539005279541,2880,2661,0.6178255000000028
44,e,75,1,0.010644523364151445,1.6196238994598389,583,508,0.1280766999999991
45,f,100,1,1.1362407398099235e-17,14.272753238677979,3936,3624,0.8030176999999825
46,g,150,1,1.424315825774425e-27,26.546507358551025,5981,5589,1.1887677999999402
47,h,250,1,3.484366924106743e-52,54.59179973602295,10289,9569,2.009857999999854
48,i,20,1,6.34042022176977e-08,6.957140684127808,1818,1655,0.3839219000000069
49,j,50,1,8.950307647314799e-12,8.129544496536255,2763,2588,0.588657100000006
50,a,75,1,0.009424214180105736,1.6609671115875244,616,556,0.14220109999999886
51,b,100,1,1.9918796094731158e-17,14.37287449836731,3938,3654,0.8469108999999777
52,c,150,1,5.603818318765662e-28,25.009094953536987,6051,5636,1.200194899999939
53,d,250,1,9.565056227275762e-51,56.66346073150635,10382,9597,1.9804173999998533
54,e,20,1,1.1849075244379755e-07,4.7497711181640625,1748,1607,0.37460520000000624
55,f,50,1,1.7416275030277108e-12,11.260838747024536,2898,2663,0.5922795000000056
56,g,75,1,0.011123010137898638,2.022301197052002,563,503,0.13197979999999904
57,h,100,1,2.5694910199200578e-17,15.843004941940308,3937,3656,0.8568284999999766
58,i,150,1,1.9339587727802434e-28,26.697082042694092,6082,5680,1.2705186999999314
59,j,250,1,1.4632965561364e-51,54.197470903396606,10345,9598,1.9966426999998514
