,variant,n_variables,depth,total_fidelity,compilation_time,n_1q_gate,n_2q_gate,execution_time
0,a,20,1,0.012288542502440134,2.1013476848602295,578,519,0.13107819999999906
1,b,20,1,0.013272676627879502,2.0459980964660645,535,494,0.1274717999999991
2,c,20,1,0.010644523364151445,2.435410737991333,583,508,0.1280766999999991
3,d,20,1,0.009424214180105736,4.015200614929199,616,556,0.14220109999999886
4,e,20,1,0.011123010137898638,2.0562281608581543,563,503,0.13197979999999904
5,f,20,1,0.012805562873016442,2.063760757446289,547,492,0.12537039999999916
6,g,20,1,0.019292680251928138,2.0841681957244873,550,495,0.1286750999999991
7,h,20,1,0.011712328562136528,2.130722761154175,570,519,0.13077949999999905
8,i,20,1,0.009932692267202257,3.8700826168060303,575,504,0.12777799999999911
9,j,20,1,0.005765546215376022,2.1925547122955322,577,532,0.1401001999999989
10,a,50,1,1.1852709604157458e-07,6.210464000701904,1688,1593,0.3938370000000077
11,b,50,1,1.0068070363787886e-07,8.60315489768982,1809,1667,0.4007511000000082
12,c,50,1,1.6477032192263467e-07,6.694809913635254,1804,1660,0.39383950000000767
13,d,50,1,7.577402437128733e-08,8.295840978622437,1790,1649,0.40375960000000843
14,e,50,1,6.34042022176977e-08,8.320017337799072,1818,1655,0.3839219000000069
15,f,50,1,1.1849075244379755e-07,6.27783727645874,1748,1607,0.37460520000000624
16,g,50,1,4.609020994804618e-08,8.733546257019043,1802,1654,0.40826610000000874
17,h,50,1,4.5574959496850164e-08,6.719166994094849,1816,1656,0.4142841000000092
18,i,50,1,3.5573913220211255e-08,8.376818418502808,1821,1676,0.40136150000000825
19,j,50,1,6.038733045960715e-08,6.327729225158691,1795,1636,0.39234550000000756
20,a,75,1,1.6817323835917926e-12,12.831365585327148,2829,2613,0.6148200000000031
21,b,75,1,2.2614177520629285e-12,12.399020195007324,2793,2598,0.5817440000000068
22,c,75,1,1.0672133726583734e-12,12.804471492767334,2872,2650,0.6003944000000048
23,d,75,1,1.462897805666786e-12,13.107302188873291,2880,2661,0.6178255000000028
24,e,75,1,8.950307647314799e-12,12.504990577697754,2763,2588,0.588657100000006
25,f,75,1,1.7416275030277108e-12,13.150803089141846,2898,2663,0.5922795000000056
26,g,75,1,4.63019440665373e-12,11.247467041015625,2788,2579,0.6042935000000043
27,h,75,1,3.3311093303071298e-12,11.232242107391357,2809,2591,0.5934713000000055
28,i,75,1,9.696469304522988e-12,10.445828676223755,2772,2545,0.5724343000000078
29,j,75,1,2.4265442962417056e-12,13.74814248085022,2885,2642,0.6256437000000019
30,a,100,1,2.5694910199200578e-17,17.472564458847046,3937,3656,0.8568284999999766
31,b,100,1,1.5635072872248784e-17,18.269100189208984,3940,3639,0.8102559999999817
32,c,100,1,2.4763388642708983e-17,17.08663773536682,3875,3636,0.807529699999982
33,d,100,1,5.541779254721382e-18,17.455379486083984,3927,3653,0.8135481999999813
34,e,100,1,5.594076072689099e-18,19.87831211090088,3939,3677,0.8315781999999794
35,f,100,1,1.8818763815747878e-17,17.504149198532104,3896,3611,0.8150436999999812
36,g,100,1,2.9180025685305133e-17,17.06412672996521,3882,3582,0.7846889999999845
37,h,100,1,8.473903835590037e-18,17.865582942962646,3935,3646,0.843615699999978
38,i,100,1,1.1362407398099235e-17,17.454659938812256,3936,3624,0.8030176999999825
39,j,100,1,1.9918796094731158e-17,19.688182592391968,3938,3654,0.8469108999999777
40,a,150,1,1.9339587727802434e-28,31.42772388458252,6082,5680,1.2705186999999314
41,b,150,1,2.0504754520616787e-28,32.0160768032074,6157,5670,1.246199499999934
42,c,150,1,2.0388164368256595e-28,31.35093331336975,6083,5667,1.2116169999999378
43,d,150,1,1.913704265154618e-28,30.954224824905396,6089,5653,1.1968981999999393
44,e,150,1,6.031654429916219e-29,31.86428713798523,6164,5708,1.2437888999999342
45,f,150,1,3.7083313556592376e-29,36.70675730705261,6140,5663,1.2320605999999354
46,g,150,1,2.430816896437552e-28,31.594261407852173,5985,5633,1.2113057999999377
47,h,150,1,5.169034348993006e-29,31.361294269561768,6102,5636,1.2043981999999385
48,i,150,1,1.424315825774425e-27,33.933101415634155,5981,5589,1.1887677999999402
49,j,150,1,5.603818318765662e-28,31.056177854537964,6051,5636,1.200194899999939
50,a,250,1,1.4632965561364e-51,75.01079845428467,10345,9598,1.9966426999998514
51,b,250,1,3.38596695042713e-52,72.0345606803894,10376,9608,1.9777150999998536
52,c,250,1,2.5955164875387968e-52,69.3127601146698,10301,9594,1.9764952999998537
53,d,250,1,6.619283352636714e-52,65.98961448669434,10267,9574,1.9632719999998551
54,e,250,1,6.546672997405226e-53,67.69421577453613,10345,9598,1.9437274999998573
55,f,250,1,8.061897125100105e-54,64.69455289840698,10317,9592,1.9335136999998583
56,g,250,1,3.451856432154767e-52,69.25756311416626,10477,9691,1.9891276999998524
57,h,250,1,2.5803794127527393e-52,68.64707946777344,10480,9637,1.9795112999998534
58,i,250,1,3.484366924106743e-52,66.61298441886902,10289,9569,2.009857999999854
59,j,250,1,9.565056227275762e-51,72.21257662773132,10382,9597,1.9804173999998533
